id,doi,doi_norm,donor,acceptor,donor_canonical,acceptor_canonical,donor_smiles,acceptor_smiles,voc,jsc,ff,pce,pce_recomputed,pce_relative_error_percent,pce_avg,pce_best,d_a_ratio,additive,additive_canonical,additive_ratio,device_structure,device_type,etl,etl_canonical,htl,htl_canonical,active_layer_thickness,solvent,solvent_canonical,annealing_temp,homo_d,lumo_d,eg_d,homo_a,lumo_a,eg_a
105408,10.1002/adma.202005942,10.1002/adma.202005942,PM6,PY-IOT,PM6,PY-IOT,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9ccc(-c%10ccc%11c(c%10)C(=C(C#N)C#N)/C(=C/c%10sc%12c(sc%13c%14c%15nsnc%15c%15c%16sc%17c(CCCCCCCCCCC)c(/C=C%18\C(=O)c%19ccc(-c%20cccs%20)cc%19C%18=C(C#N)C#N)sc%17c%16n(CC(CCCCCCCC)CCCCCCCCCC)c%15c%14n(CC(CCCCCCCC)CCCCCCCCCC)c%12%13)c%10CCCCCCCCCCC)C%11=O)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.939,19.71,65.6,12.12,12.14104464,0.173635643564367,11.97,12.12,,,,,ITO/PEDOT:PSS/PM6:PY-IOT/Zracac/Al,conventional,Zracac,ZrAcac,PEDOT:PSS,PEDOT:PSS,,,,,-5.56,-3.65,,-5.68,-3.92,
105409,10.1002/adma.202005942,10.1002/adma.202005942,PM6,PY-IT,PM6,PY-IT,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.924,22.96,70.6,14.93,14.97781824,0.3202829202947072,,14.93,,,,,ITO/PEDOT:PSS/PM6:PY-IT/PFN-Br/Ag,conventional,PFN-Br,PFN-Br,PEDOT:PSS,PEDOT:PSS,,,,,-5.56,-3.65,,-5.68,-3.94,
105410,10.1002/adma.202101295,10.1002/adma.202101295,PBDB-T:PIDIC2T,,PBDB-T:PIDIC2T,,,,0.8,9.07,41.0,2.97,2.97496,0.1670033670033545,2.88,2.97,,,,,ITO/ZnO/active layer/MoO3/Ag,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,,,,,,
105411,10.1002/adma.202101295,10.1002/adma.202101295,PBDB-T-b-PIDIC2T,,PBDB-T-b-PIDIC2T,,,,0.86,9.76,49.0,4.2,4.112863999999999,2.0746666666666904,4.02,4.2,,,,,ITO/ZnO/active layer/MoO3/Ag,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,,,,,,
105412,10.1002/adma.202101295,10.1002/adma.202101295,PBDB-T:PTY6,,PBDB-T:PTY6,,,,0.86,20.64,68.0,12.2,12.070272,1.0633442622950826,11.97,12.2,,,,,ITO/ZnO/active layer/MoO3/Ag,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,,,,,,
105413,10.1002/adma.202101295,10.1002/adma.202101295,PBDB-T-b-PTY6,,PBDB-T-b-PTY6,,,,0.89,15.42,63.0,8.64,8.645994,0.0693749999999929,8.41,8.64,,,,,ITO/ZnO/active layer/MoO3/Ag,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,,,,,,
105414,10.1002/adma.202102635,10.1002/adma.202102635,PM6,L14,PM6,L14,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,,0.953,21.12,71.6,14.41,14.411189759999996,0.0082564885495993,14.08,14.41,1:1.2,1-chloronaphthalene,CN,,ITO/PEDOT:PSS/active layer/PDIN/Al,conventional,PDIN,PDIN,PEDOT:PSS,PEDOT:PSS,,chloroform,chloroform,,-5.56,-3.65,,-5.775,-4.16,
105415,10.1002/adma.202102635,10.1002/adma.202102635,PM6,L15,PM6,L15,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cc%10c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c%11ccsc%11c%10s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.953,22.21,71.86,15.22,15.209981018,0.0658277398160436,14.95,15.22,1:1.2,1-chloronaphthalene,CN,,ITO/PEDOT:PSS/active layer/PDIN/Al,conventional,PDIN,PDIN,PEDOT:PSS,PEDOT:PSS,,chloroform,chloroform,,-5.56,-3.65,,-5.75,-3.94,
105417,10.1002/adma.202102635,10.1002/adma.202102635,PM6,MBTI,PM6,MBTI,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,,0.983,13.66,58.43,7.84,7.845851854,0.0746409948979633,7.5,7.84,1:1.2,1-chloronaphthalene,CN,,ITO/PEDOT:PSS/active layer/PDIN/Al,conventional,PDIN,PDIN,PEDOT:PSS,PEDOT:PSS,,chloroform,chloroform,,-5.56,-3.65,,,,
105418,10.1002/adma.202107361,10.1002/adma.202107361,,PYTS-0.0,,PY-IT,,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.92,22.38,63.0,13.01,12.971448,0.2963259031514162,12.82,13.01,,,,,conventional,conventional,,,,,,,,,,,,-5.88,-4.28,
