epoch,train_loss,validation_loss,validation_mae,validation_rmse,validation_r2
1,1.1742033324343093,1.244277368200586,3.3574370704987584,3.9316544117904977,-0.29574267044669345
2,0.9684375144065694,0.7176542167967939,2.441735714158796,2.985893895412927,0.2526624068774652
3,0.7926406479896383,0.7650437177495754,2.4762999987269336,3.0829030934563932,0.2033128097629343
4,0.8179352448341695,0.681074209669803,2.4696684214583735,2.9088005950186497,0.2907554814645923
5,0.8223918701740022,0.7539996530147309,2.530320058596578,3.060569910578134,0.21481373191179154
6,0.7619720494493525,0.6736317264272812,2.255771799409326,2.8928638358426255,0.2985058205317531
7,0.686977614747717,0.6254463347982853,2.3556608470117157,2.78747999357142,0.3486842125671884
8,0.6205236264999877,0.5608583384371818,2.188773194407212,2.6396315954503695,0.4159436858667426
9,0.6102673918642896,0.5577922640962804,2.2587609419083976,2.6324065690844507,0.4191365913962659
10,0.5657849723988391,0.469887302276936,2.0956218827198794,2.4160926285933777,0.5106774301825099
11,0.5836891341716686,0.6647195511675895,2.488256079204222,2.873663806199642,0.30778659811131315
12,0.6478993537578177,0.5286905080714124,2.1641657708727933,2.56281642856464,0.4494419895700389
13,0.6482299566268921,0.4572085788909425,1.9232406921764003,2.383273696220583,0.5238805460976805
14,0.6263017172509051,0.491596002528008,2.023460994494405,2.4712740982726706,0.48807077666203535
15,0.7201136718405053,0.6002621758491435,2.1188979910964028,2.7307831693771236,0.37491004175203735
16,0.7183468950555679,0.7113596530670815,2.434895880797759,2.9727702594452032,0.2592173838529309
17,0.753371425131534,0.5671688965026368,2.2340354474380297,2.654440073377551,0.40937212816068125
18,0.7056273691197659,0.5642804161031195,2.1544229478198798,2.6476723343000312,0.41238000898234284
19,0.8547725652126555,0.5596984130270938,2.0745269236491715,2.6369006663669303,0.4171515750931113
20,0.6944504798726833,0.7321122009703454,2.377968017210035,3.0158209556717472,0.23760647978487726
21,0.7627834791832782,0.6796789118584167,2.30850366594151,2.905819448847867,0.292208505167885
22,0.7263737866219054,0.7691333065641687,2.4357088830797595,3.091131951309549,0.19905411280166496
23,0.7096149388779985,0.6155180969136826,2.3279850382674883,2.7652674821781327,0.35902309684095113
24,0.6817015548969837,0.711767333619138,2.337269279669891,2.9736219242878814,0.2587928714770713
25,0.7139803729158767,0.5290090467067475,2.178195212868617,2.5635882785069515,0.4491103137190394
26,0.6428935641938067,0.5560349948862766,2.2179705336927733,2.6282568036406158,0.4209665115890372
27,0.6205928281266638,0.6025613343462031,2.267875805933108,2.7360079946645866,0.3725157760531257
28,0.5603879886738797,0.47245480912796994,1.9410422369441453,2.4226845795223357,0.5080036993799251
29,0.5428646574629113,0.4522389465189995,1.9893213879475569,2.3702858077625133,0.5290557274363128
30,0.6091375744089167,0.38556738990418454,1.8248335213023932,2.1886024712656704,0.598484923019389
31,0.573937142783023,0.47338902569831687,1.8910828789577205,2.4250786559515154,0.5070308457608921
32,0.6444738253634027,0.5130526131771981,2.1214201933446715,2.5246296474571133,0.46572673440430257
33,0.6379064118608515,0.5188074264120548,1.990104410123635,2.5387493996854356,0.4597338541061574
34,0.5326233956407993,0.5297037261597654,2.2321603994499495,2.5652709276995047,0.4483869071536305
35,0.598002810427483,0.6447083100359491,2.258195905094134,2.8300777644405457,0.32862552532679423
36,0.6252335538255408,0.41570965343333305,1.8389514013728563,2.2725413004025503,0.5670959422560109
37,0.6105003762752452,0.38098790797781434,1.7340320806474763,2.175566341070324,0.6032538241407323
38,0.5724750249943835,0.5255843064886458,2.135609162733593,2.555276517643886,0.4526767525988542
39,0.6399048807773184,0.7129795500572692,2.487999558567684,2.976153071266575,0.25753050342782036
40,0.6318823479591532,0.5995588442112537,2.2890578763202782,2.7291828442259707,0.37564247197616973
41,0.6861061644046864,0.5818113088607788,2.267290048261589,2.688486168089054,0.39412406897478536
42,0.6748556101575811,0.6145794886223813,2.292646291527025,2.7631582838986497,0.36000052979702424
43,0.6730587634634464,0.5835536096958404,1.950189418099979,2.6925086149008646,0.39230971939520753
44,0.6700669070507618,0.5454543397781697,2.2011901280902166,2.6031304198872913,0.4319848204720209
45,0.7139745037606422,0.5866816081899278,2.2010690786657814,2.69971526995524,0.38905232955013525
46,0.6968279265342875,0.6509900828625294,2.22620379175753,2.8438318893575025,0.3220839331135249
47,0.5717018284696214,0.7226367909857567,2.427633972997044,2.9962410845819494,0.2474738487751431
48,0.683650387094376,0.6359770171185757,2.283705054564362,2.8108484681359127,0.33771799579541983
49,0.722224769440103,1.033853251883324,2.9824017426989813,3.583819858554933,-0.07661501029477735
50,0.7002071275355968,0.675655704863528,2.4038559859024082,2.897206459076726,0.2963981434401025
51,0.6617096104520432,0.7561010807118518,2.6177227853381253,3.0648319778939896,0.21262535068704969
52,0.7094089274710798,0.7693831007531349,2.4472232119754906,3.0916338018992437,0.19879402180510297
53,0.7275530302778204,0.90779255298858,2.732522132667772,3.358226970676465,0.05465968835913715
54,0.7397524016968747,0.6423896145313344,2.2704540695202478,2.824983905900933,0.3310401648933302
55,0.8001239439274402,0.552920511428346,2.1435307341607963,2.6208856515219034,0.4242098466748534
56,0.7480274185221246,0.6716101841723665,2.31941154294033,2.88851981340047,0.300611013629031
57,0.7213714097408538,0.5081520676612854,2.0825692010607493,2.512543408062196,0.4708299762582565
