donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max,split
CCCCCCc1ccc2c(c1)C(=O)c1csc(-c3cc4c(s3)-c3sccc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,5.13,3,1.074616210560775,3.31,5.21,train
CCCCCCCCN1C(=O)c2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,7.145,2,0.7141778489984132,6.64,7.65,train
CCCCCCCCOC(=O)c1sc2c(-c3cc4c(CCC(CCCC)CCCCCC)c5sccc5c(CCC(CCCC)CCCCCC)c4s3)scc2c1F,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.18,1,0.0,0.18,0.18,train
CCCCCCc1ccsc1,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,0.48,1,0.0,0.48,0.48,train
CCCCCCCCCCc1c(C)sc(C)c1Br,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.17,1,0.0,1.17,1.17,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCc1c(/C=C2\C(=O)c3cc4cc(Br)sc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(Br)sc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,15.22,3,0.0,15.22,15.22,train
CCCCCCN(CCCC)C(=O)c1ccsc1-c1cc(C(=O)N(CCCC)CCCC)c(-c2ccc(-c3cccs3)s2)s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.31,1,0.0,1.31,1.31,train
CCCCCCCC[Si]1(CCCCCCCC)c2ccsc2-c2sc(-c3ccc(-c4ccc(-c5cccs5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,1.92,3,0.4196824196143237,1.3,2.1,train
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCC(CCCCC)N1C(=O)c2cc3c(cc2C1=O)C1=[N+]2C3=Nc3c4cc5c(cc4c4n3[B-]2(F)n2c(c3cc6c(cc3c2=N4)C(=O)N(C(CCCCC)CCCCC)C6=O)=N1)C(=O)N(C(CCCCC)CCCCC)C5=O,3.37,1,0.0,3.37,3.37,train
CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5cccs5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2ccsc12,CCc1ccc(C2(c3ccc(CC)cc3)Oc3c(sc4c5c(sc34)-c3sc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)cc3C(c3ccc(CC)cc3)(c3ccc(CC)cc3)O5)-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)cc1,8.25,1,0.0,8.25,8.25,train
CCCCCCc1cc(C)sc1C,CCC[Si]1(CCC)c2cc(-c3ccc(F)cc3)sc2-c2sc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,1.5,1,0.0,1.5,1.5,train
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sccc5c(OCC(CC)CCCC)c4s3)scc2c1F,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(C(CCCCCCCC)CCCCCCCCCC)C3=O,2.22,4,2.6271974928936475,1.35,7.07,train
CCCCCCCC(CCCCCC)CCOc1c2cc(-c3cccc4nsnc34)sc2c(OCCC(CCCCCC)CCCCCCC)c2ccsc12,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,3.81,15,0.9044956500461352,1.5,5.06,train
CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3cc(-c4cc5c(s4)-c4sccc4C5(CCCCCCCC)CCCCCCCC)ccc32)c2ccccc21,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,3.3,1,0.0,3.3,3.3,train
CCCCCCc1cc(C)sc1C,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,0.6,1,0.0,0.6,0.6,train
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sccc5c(OCC(CC)CCCC)c4s3)scc2c1F,CCCCCCN1C(=O)c2ccc3c4c(c(-c5cc6c(s5)-c5sccc5C6(CC(CC)CCCC)CC(CC)CCCC)cc(c24)C1=O)C(=O)N(CCCCCC)C3=O,0.87,4,0.1524248448689824,0.76,1.12,train
CCCCCCc1ccsc1,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC)nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,2.66,1,0.0,2.66,2.66,train
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCCCN1C(=O)/C(=C/c2ccc(-c3ccc(/C=C4\SC(=S)N(CCCCCCCC)C4=O)s3)s2)SC1=S,9.36,2,0.0424264068711938,9.33,9.39,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,9.03,1,0.0,9.03,9.03,train
