donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max
C=CCCCCCCCCCOc1c2cc(-c3sc(-c4cc5c(OCC(CC)CCCC)c6sccc6c(OCC(CC)CCCC)c5s4)c4c3C(=O)N(CCCCCCC)C4=O)sc2c(OCCCCCCCCCC=C)c2cc(-c3scc4c3C(=O)N(CCCCCCC)C4=O)sc12,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,4.775,4,0.8549610127563321,4.0,6.06
C=CCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6cccs6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCC=C)s3)c3ccsc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,7.755000000000001,2,0.5303300858899109,7.38,8.13
C=Cc1cc(OCC(CC)CCCC)c(C=C)cc1OC,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.7,8,0.5473708588725356,1.0,2.6
C=Cc1cc(OCCCCCCCCCCCC)c(/C=C/c2ccc(-c3sc(-c4ccccc4)cc3CCCCCC)cc2)cc1OCCCCCCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,2.66,1,0.0,2.66,2.66
C=Cc1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3cccs3)c3nsnc23)s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.46,3,0.1014889156509222,0.33,0.53
C=Cc1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3cccs3)c3nsnc23)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,1.53,1,0.0,1.53,1.53
C=Cc1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(/C=C/c5cc(CCCCCC)c(-c6ccc(-c7ccc(-c8sccc8CCCCCC)s7)s6)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,2.9,1,0.0,2.9,2.9
C=Cc1ccc2c(c1)c1cc(/C=C/c3ccc4c5ccccc5n(-c5ccc6c7c5cccc7c(=O)n5c7cccc8cccc(nc65)c87)c4c3)ccc1n2-c1ccc(CCCCCCCC)cc1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.1075,2,0.0091923881554251,0.101,0.114
CC#C/C1=C2\C=CC(=N2)C(c2cc(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c2)=c2ccc3n2[Zn]n2c1ccc2/C(c1cc(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c1)=C1/C=CC(=N1)C=3C#Cc1ccc(C2=C3C(=O)N(CCCCCCCCCCCCCCCC)C(c4ccc(C)cn4)=C3C(=O)N2CCCCCCCCCCCCCCCC)nc1,CCCCC(CC)Cn1c2ccc(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc34)cc2c2cc3c(cc21)c1cc(-c2ccc(/C=C4/SC(=S)N(CC)C4=O)c4nsnc24)ccc1n3CC(CC)CCCC,9.16,1,0.0,9.16,9.16
CC#Cc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C(C#Cc3cc(CC(CC)CCCC)c(C)s3)=C(C)C1C2c1c(C)cc(C)cc1C,CCCCCCCCCCN1C(=O)C2C(=C1c1cccs1)C(=O)N(CCCCCCCCCC)C2c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1,9.29,1,0.0,9.29,9.29
