epoch,train_loss,validation_loss,validation_mae,validation_rmse,validation_r2,learning_rate,epoch_seconds
1,0.45783234767393155,0.31082774172447514,2.288360112930409,3.074891874348197,0.7530800118860064,0.0004,14.393
2,0.3744485369415992,0.3654219765866248,2.710383285089672,3.3340131275048632,0.7097106113526134,0.0004,12.669
3,0.3300824507037579,0.44627922619463045,3.177575229111335,3.6844554483131184,0.6454780179201511,0.0004,12.761
4,0.3110702440085652,0.329750610513369,2.5692991269432053,3.167107308429633,0.7380477659609719,0.0004,12.789
5,0.2978096485309581,0.32160157488172475,2.5776560160021984,3.127728580710269,0.7445213179839243,0.0004,13.008
6,0.2884239973421673,0.2807382007241474,2.3001022738285393,2.9222726157182386,0.776982980990092,0.0004,12.885
7,0.2850121495816073,0.29367505732321353,2.4110192578099703,2.9888457705639184,0.7667060049172296,0.0004,12.85
8,0.2743206555351333,0.3087550097823008,2.4820637783330337,3.064622461380805,0.7547265666740381,0.0004,13.119
9,0.2849028460610742,0.3548199104624697,2.7493461763132236,3.285291905994095,0.7181328416533732,0.0004,12.805
10,0.2877321767299398,0.2757362931337709,2.2168805513795484,2.8961225932513717,0.7809564683243808,0.0004,13.038
11,0.2753573814414465,0.2886479921523823,2.3694838849321966,2.963154135862134,0.7706994820669568,0.0004,12.979
12,0.2692636571814351,0.2847305502962985,2.3090394139955963,2.9429779553237525,0.7738114754211579,0.0004,12.985
13,0.27521333864045505,0.37799653449105264,2.8444315881165227,3.390891422507542,0.6997214450444713,0.0004,13.148
14,0.26667552498021385,0.2728139963008034,2.2655271416605665,2.8807349411926193,0.7832779249020076,0.0004,12.903
15,0.2696020680418637,0.3647697653594756,2.784262013844454,3.3310364944158692,0.710228725250589,0.0004,13.197
16,0.26507583820059566,0.280708436101192,2.226837858382793,2.922117706074647,0.7770066246235182,0.0004,13.117
17,0.26074911614743057,0.24713577324495736,2.0333304049293948,2.741812661302929,0.8036765827162905,0.0004,13.342
18,0.2570514813721847,0.24487984230439258,2.0716551468582827,2.7292699667766636,0.8054686762337385,0.0004,12.998
19,0.25522979694396936,0.2627307831948989,2.1299745076286998,2.826997643177865,0.7912879890302991,0.0004,13.255
20,0.2551799237415788,0.26718771302088945,2.215064867680732,2.8508752816391776,0.7877474157273769,0.0004,12.953
21,0.2545186619309974,0.26794339787766835,2.2137676819335232,2.854903983415424,0.7871471042645489,0.0004,13.385
22,0.24607507057316674,0.3018373481808543,2.442022903878793,3.0300965494711773,0.760221917151671,0.0004,13.222
23,0.24470602766524202,0.25662149419840263,2.183921244245284,2.793936239065661,0.7961411681518799,0.0004,13.014
24,0.2518113367686848,0.32598662148926605,2.57778429777921,3.1489796752072436,0.7410378662682531,0.0004,13.273
25,0.25283374010697757,0.25124526068798514,2.1433380720395343,2.764514773804329,0.8004120212166618,0.0004,13.421
26,0.24150726662723007,0.2830349360260926,2.3084552739596798,2.934201951971184,0.7751584590438556,0.0004,13.524
27,0.2323542646984594,0.2566460697292787,2.1804932953456864,2.794070022577447,0.796121644726102,0.0002,13.037
28,0.2297249919802734,0.2766545912566115,2.305545604903173,2.9009411079387526,0.7802269809000172,0.0002,13.236
29,0.23151079252427673,0.2590690777407832,2.2031312309200444,2.8072284807704513,0.7941968240624506,0.0002,13.107
30,0.2306249836384223,0.2469270181148132,2.0949466094090137,2.740654420085568,0.8038424159609687,0.0002,13.133
31,0.22959355930470432,0.2588199390203064,2.201622281257148,2.805878329294745,0.7943947407216494,0.0002,13.35
32,0.22797559699548267,0.2402430424488494,2.0357161949907705,2.703307085588883,0.8091521309107301,0.0002,13.036
33,0.22543744250878067,0.2676255420563673,2.229515641979586,2.8532101221922734,0.7873996075433334,0.0002,13.616
34,0.22620464852107447,0.2392588994478757,2.0127913230194445,2.6977644103668075,0.8099339313451888,0.0002,13.352
35,0.2263165024313053,0.2534646811269159,2.1512120388745046,2.776698296309763,0.7986489320799834,0.0002,13.36
36,0.22315714675118,0.2343361779255459,1.998642162826629,2.669867111688124,0.8138445133420452,0.0002,13.199
37,0.22584150408539766,0.2861046143356378,2.350499734399655,2.9500705353012853,0.7727199325286547,0.0002,13.358
38,0.2272545058929689,0.27547420849451426,2.300881970700391,2.894745864928922,0.7811646720499977,0.0002,13.165
39,0.22617469369022963,0.24167786566684527,2.0767456895210685,2.711367644849736,0.8080123166197718,0.0002,13.235
40,0.22352281935248874,0.2940744671660282,2.409982821686738,2.990877553192509,0.7663887160146083,0.0002,13.609
41,0.2219544390304137,0.25386310330863454,2.1634129599407084,2.778879844800948,0.7983324197149296,0.0002,13.162
42,0.2198363734443594,0.28225486788195214,2.347113146806379,2.9301557053378815,0.7757781417127829,0.0002,13.43
43,0.21997705631734335,0.2857179507090827,2.329433826330078,2.9480763934114185,0.7730270950284523,0.0002,13.233
44,0.2204369305227778,0.24062584527047498,2.0805648304633495,2.7054599242186983,0.8088480379959558,0.0002,13.318
45,0.22243676557155628,0.24851330687898174,2.146899342892096,2.7494435297731195,0.8025822680405647,0.0002,13.305
46,0.21438011768485177,0.24076691013190415,2.097037206759432,2.7062527965522016,0.8087359821424921,0.0001,13.234
47,0.2118180015639701,0.23551787914553096,2.061322948544613,2.6765903702348823,0.8129057794892209,0.0001,13.206
48,0.21190304375007718,0.22589409061526067,1.952598331062842,2.6213342329536755,0.8205508737616618,0.0001,13.127
49,0.21372846453454797,0.23545827243380218,2.016799784088795,2.6762516332072703,0.8129531320692586,0.0001,13.63
50,0.21123837193787473,0.23029496981609646,2.017688410932969,2.6467456337842292,0.8170548247950296,0.0001,13.172
51,0.21110265487070345,0.22286228925450272,1.9273218641936452,2.6036839307475663,0.8229593174689507,0.0001,13.441
52,0.210145267665102,0.2817201052370765,2.3385462014532385,2.9273786280613243,0.7762029562377599,0.0001,13.137
53,0.21018995020630193,0.22777799576734356,1.98741212445227,2.6322422440710076,0.8190543032613764,0.0001,13.472
54,0.21002485450691866,0.2439675274667675,2.0736432216100185,2.7241811669460936,0.8061934180896474,0.0001,13.295
55,0.20959483969398976,0.2344991475444805,2.0311490506665866,2.670795329602267,0.8137150515469294,0.0001,13.195
56,0.20979389596136233,0.23328199871432048,2.0110987573987575,2.6638549978811588,0.8146819541648571,0.0001,13.238
57,0.20803443008484845,0.2396491395665527,2.072773963919884,2.6999636169481467,0.8096239228646879,0.0001,13.311
58,0.20888140183152307,0.252224273482584,2.1423986926814385,2.7698956954903515,0.7996342988531762,0.0001,13.441
59,0.20841263505935623,0.2246232906232184,1.87823432717215,2.613950488180449,0.8215603905180685,0.0001,13.239
60,0.20965706066133527,0.2278172513768442,1.9371462362065253,2.632469020253616,0.8190231238043401,0.0001,13.397
